Order_ID,Order_Date,Customer_ID,Restaurant_ID,Region,Delivery_Partner_ID,Order_Value,Delivery_Fee,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Delivery_Time_Minutes,Order_Rating,Festival_Flag
O100015,06-10-2024,C03325,R082,Metropolitan,D0688,656,30,0,686,UPI,Delivered,34,4,1
O100018,04-06-2025,C03422,R259,Urban,D0411,457,30,0,487,UPI,Delivered,35,5,0
O100022,19-07-2024,C16077,R254,Metropolitan,D0535,363,40,75,328,Card,Delivered,34,4,1
O100026,26-08-2025,C10012,R057,Metropolitan,D0355,651,30,0,681,Card,Delivered,42,3,1
O100042,02-03-2024,C04839,R016,Metropolitan,D0641,302,50,0,352,Card,Delivered,34,4,1
O100056,12-02-2023,C12327,R510,Metropolitan,D0299,604,30,30,604,UPI,Delivered,29,3,0
O100073,30-09-2024,C10925,R147,Urban,D0025,628,35,30,633,Cash,Delivered,41,4,0
O100085,01-08-2024,C10232,R456,Urban,D0947,507,35,0,542,UPI,Returned,32,2,1
O100087,16-10-2023,C13134,R208,Urban,D0357,284,30,0,314,UPI,Delivered,31,4,1
O100099,06-05-2023,C03941,R096,Metropolitan,D0670,584,30,0,614,UPI,Delivered,31,3,0
O100117,02-05-2023,C03086,R117,Semi-Urban,D0613,531,35,30,536,Wallet,Delivered,45,3,0
O100124,11-09-2025,C15824,R022,Urban,D0485,424,35,0,459,Card,Delivered,40,5,0
O100159,04-10-2024,C10658,R190,Metropolitan,D1081,520,30,0,550,UPI,Returned,33,4,1
O100169,14-09-2023,C00694,R285,Metropolitan,D0861,524,30,0,554,UPI,Delivered,38,4,0
O100191,01-03-2024,C15747,R257,Semi-Urban,D0993,468,40,30,478,UPI,Delivered,39,3,1
O100215,22-01-2023,C20201,R205,Metropolitan,D0896,601,30,150,481,Card,Delivered,38,4,0
O100233,29-11-2025,C18485,R343,Metropolitan,D1049,509,35,0,544,UPI,Delivered,28,4,1
O100246,25-04-2023,C10643,R495,Metropolitan,D0072,323,30,0,353,Cash,Delivered,35,4,0
O100254,18-10-2025,C00768,R426,Semi-Urban,D0032,501,35,0,536,UPI,Delivered,34,5,1
O100280,02-06-2023,C15556,R029,Metropolitan,D0654,378,35,0,413,Card,Delivered,34,4,0
O100288,25-04-2025,C21624,R453,Metropolitan,D0038,491,35,20,506,Card,Delivered,37,5,0
O100296,28-10-2024,C02864,R449,Urban,D0646,552,30,0,582,Card,Delivered,36,5,1
O100310,24-09-2025,C05706,R541,Urban,D0584,434,40,100,374,UPI,Delivered,35,5,0
O100316,19-11-2025,C05365,R303,Semi-Urban,D1087,797,40,0,837,Cash,Delivered,34,4,1
O100318,10-03-2024,C10096,R166,Urban,D0720,514,40,0,554,UPI,Delivered,32,3,1
O100323,17-02-2025,C12587,R348,Metropolitan,D0546,717,40,0,757,Cash,Delivered,33,5,0
O100326,05-03-2025,C12317,R505,Urban,D0208,374,35,0,409,UPI,Cancelled,38,4,1
O100331,18-07-2024,C03632,R031,Semi-Urban,D0032,459,30,0,489,Wallet,Cancelled,31,5,1
O100332,22-11-2024,C05524,R189,Semi-Urban,D0937,595,30,100,525,Cash,Delivered,38,4,1
O100346,03-11-2023,C02421,R059,Semi-Urban,D0180,521,30,100,451,UPI,Delivered,29,5,1
O100359,18-12-2025,C01892,R048,Urban,D0891,794,35,0,829,Cash,Delivered,33,5,1
O100365,11-07-2024,C04396,R031,Semi-Urban,D0562,764,50,0,814,UPI,Delivered,33,5,1
O100372,02-03-2023,C14522,R331,Metropolitan,D0299,316,35,0,351,UPI,Delivered,35,3,1
O100375,28-01-2025,C19754,R038,Metropolitan,D0465,559,35,100,494,Cash,Delivered,33,3,0
O100408,14-07-2023,C17596,R087,Urban,D0837,511,35,75,471,UPI,Delivered,39,4,1
O100409,02-05-2023,C13816,R086,Metropolitan,D0908,370,35,100,305,Cash,Delivered,39,5,0
O100416,05-11-2023,C02448,R462,Urban,D0545,305,35,50,290,Card,Delivered,43,4,1
O100418,03-02-2025,C04626,R470,Urban,D0341,488,30,0,518,Card,Delivered,32,4,0
O100420,11-03-2025,C01617,R061,Semi-Urban,D0442,373,40,30,383,Card,Delivered,38,5,1
O100431,25-04-2023,C06401,R485,Semi-Urban,D0937,617,35,0,652,UPI,Delivered,32,4,0
O100446,19-03-2025,C04710,R241,Urban,D0094,440,30,0,470,UPI,Delivered,35,4,1
O100454,25-04-2024,C12074,R444,Metropolitan,D0502,481,30,0,511,UPI,Delivered,30,5,0
O100474,24-03-2024,C14617,R137,Metropolitan,D0658,719,30,0,749,UPI,Delivered,40,5,1
O100478,16-04-2023,C11572,R299,Urban,D0520,412,35,50,397,UPI,Delivered,34,4,0
O100482,10-06-2024,C01679,R031,Semi-Urban,D0009,340,35,0,375,UPI,Delivered,27,5,0
O100485,01-10-2024,C06401,R358,Semi-Urban,D0227,453,40,0,493,UPI,Delivered,33,1,1
O100490,17-01-2023,C13949,R092,Urban,D1082,582,30,0,612,UPI,Delivered,31,4,0
O100500,24-11-2023,C21732,R306,Metropolitan,D0454,526,40,0,566,UPI,Delivered,39,4,1
O100525,01-09-2024,C01617,R468,Semi-Urban,D0776,518,35,0,553,Wallet,Delivered,32,4,0
O100536,12-07-2025,C05281,R362,Metropolitan,D1028,616,30,150,496,UPI,Cancelled,28,2,1
O100553,25-04-2023,C05209,R293,Semi-Urban,D0664,532,40,0,572,UPI,Delivered,35,5,0
O100559,06-01-2023,C21991,R511,Metropolitan,D0663,200,30,0,230,Card,Cancelled,34,2,0
O100572,09-03-2024,C15053,R156,Urban,D0720,695,35,0,730,UPI,Cancelled,28,5,1
O100574,16-03-2023,C05047,R189,Semi-Urban,D0562,583,30,0,613,Card,Delivered,40,4,1
O100588,17-09-2025,C15261,R120,Urban,D0769,569,40,0,609,Card,Delivered,39,3,0
O100609,18-08-2023,C03064,R372,Semi-Urban,D0268,500,40,0,540,Card,Delivered,41,5,1
O100633,11-03-2025,C03086,R131,Semi-Urban,D1084,331,35,0,366,Card,Delivered,35,1,1
O100641,18-05-2025,C04701,R440,Semi-Urban,D0044,276,35,0,311,Card,Delivered,34,4,0
O100659,16-12-2025,C00879,R463,Metropolitan,D0455,746,30,0,776,Cash,Delivered,42,4,1
O100661,21-12-2024,C00181,R372,Semi-Urban,D0573,534,40,0,574,Card,Delivered,43,4,1
O100679,24-02-2025,C19936,R029,Metropolitan,D1043,447,30,0,477,UPI,Delivered,39,5,0
O100681,19-09-2023,C10145,R329,Metropolitan,D0380,273,50,20,303,Cash,Delivered,36,4,0
O100695,09-01-2023,C07079,R106,Urban,D0927,525,30,0,555,UPI,Delivered,36,4,0
O100727,20-01-2023,C08060,R011,Metropolitan,D1056,514,35,0,549,UPI,Delivered,31,3,0
O100732,06-02-2023,C10683,R518,Urban,D0430,478,40,0,518,UPI,Delivered,39,4,0
O100746,11-07-2025,C02479,R533,Semi-Urban,D1087,417,30,0,447,Cash,Cancelled,36,2,1
